stationName,Address,City,State,charger_type,stationModel,StationNetworkStatus,LastPortStatus,faultReason,StatusTimestamp,hours_unreachable,snapshot_utc
NYC FLEET / DPRCALVAUX-S2,1990 Shore Pkwy,Gravesend,New York,Level 2,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,2025-11-03T17:46:12Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPRHIGHWAYP2-S1,2900 Flatbush Ave,Brooklyn,New York,Level 2,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,2025-11-04T22:38:19Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / FDNY_BFIBK#2,5600 1st Avenue FDNY,Brooklyn,New York,Level 2,CPF50-L18,Unreachable,UNREACHABLE,NONE,2025-11-05T17:17:17Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPRROCKAWAY30,102 32 St,Queens,New York,Level 2,CT4010-HD2-GW-LTE,Unreachable,UNREACHABLE,NONE,2025-10-25T11:16:19Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPRROCKAWAY30B,1-09 Beach 30th St,Queens,New York,Level 2,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,2025-09-23T13:06:31Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPRCUNINGHM6A-B,196-5 Grand Central Parkway N Svc Rd,Queens,New York,Level 2,CT4020-HD-GW,Unreachable,NEEDS SERVICE,Powered Off,2025-01-14T15:20:08Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPRCUNINGHM5A-B,196-5 Grand Central Parkway N Svc Rd,Queens,New York,Level 2,CT4020-HD-GW,Unreachable,NEEDS SERVICE,Powered Off,2025-01-14T15:20:08Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPRCUNINGHM2A-B,19600 Union Tpke,Fresh Meadows,New York,Level 2,CT4020-HD-GW,Unreachable,NEEDS SERVICE,Powered Off,2025-01-14T15:20:08Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPRCUNINGHM3A-B,19600 Union Tpke,Fresh Meadows,New York,Level 2,CT4020-HD-GW,Unreachable,NEEDS SERVICE,Station Unreachable,2023-10-10T16:30:01Z,0.0,2025-11-05T17:32:49Z
NYC FLEET / DPRMBLOT7-S1,829 Father Capodanno Blvd,Midland Beach,New York,Level 2,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,2025-10-31T21:59:51Z,0.0,2025-11-05T17:32:49Z
