stationName,Address,City,State,Charger type,stationModel,unreachable_event_count,status,last_unreachable_start_iso,current_first_unreachable_iso,last_seen_reachable_iso
NYC FLEET / DPR_ALLIED1,15 East Rd,Corona,New York,Level 2,CT4020-HD-GW,0,REACHABLE,,,2026-02-12T20:35:36+00:00
NYC FLEET / DPR_CROTONAPL#1,1700 Fulton Ave,The Bronx,New York,Level 2,CT4020-HD-GW,0,REACHABLE,,,2026-02-12T20:34:19+00:00
NYC FLEET / DPR_WHRLMPIER,698 West 135th Street,New York,New York,Level 2,CT4020-HD-GW,0,REACHABLE,,,2026-02-12T20:32:25+00:00
NYC FLEET / DPRHIGHROCK#1,200 Nevada Ave,Staten Island,New York,Level 2,CT4010-HD-GW,0,REACHABLE,,,2026-02-12T20:30:55+00:00
NYC FLEET / DPR_ALOERTER#1,131-40 Fowler Ave,Flushing,New York,Level 2,CT4020-HD-GW,0,REACHABLE,,,2026-02-12T20:28:15+00:00
NYC FLEET / DPR_IROQUOIS-1,3 Iroquois St,Staten Island,New York,Level 2,CT4010-HD-GW,0,REACHABLE,,,2026-02-12T20:32:55+00:00
NYC FLEET / DPR_ALOERTER#2,131-40 Fowler Ave,Flushing,New York,Level 2,CT4020-HD-GW,1,REACHABLE,2026-02-08T10:46:06+00:00,,2026-02-12T20:29:21+00:00
NYC FLEET / DOT_SPARE-4,42 South St,New York,New York,Level 2,CPF50,1,UNREACHABLE,2025-10-17T08:56:38+00:00,2025-10-17T08:56:38+00:00,2025-10-17T08:56:38+00:00
NYC FLEET / DPRSOUTHBEACH#1,375 Sand Ln,Arrochar,New York,Level 2,CT4020-HD-GW,0,REACHABLE,,,2026-02-12T20:27:47+00:00
NYC FLEET / DPROLMSTEDFOR#3,12 Olmsted Dr,Corona,New York,Level 2,CT4010-HD-GW,0,REACHABLE,,,2026-02-12T20:33:02+00:00
NYC FLEET / DSNY_QBSROOF-4,52-07 58th St,Queens,New York,Level 2,CPF50-L23,0,REACHABLE,,,2026-02-12T20:30:19+00:00
NYC FLEET / DPRICAHNSTADIUM,20 Randalls Is Rd,New York,New York,Level 2,CT4020-HD-GW,1,REACHABLE,2026-02-08T22:52:08+00:00,,2026-02-12T20:27:22+00:00
NYC FLEET / DPR_CHELSEAPARK,294 10th Ave,New York,New York,Level 2,CT4020-HD-GW,0,REACHABLE,,,2026-02-12T20:32:30+00:00
NYC FLEET / DPR_RANAQ2,1954-1962 Birchall Ave,New York,New York,Level 2,CT4020-HD-GW,0,REACHABLE,,,2026-02-12T20:33:02+00:00
NYC FLEET / DPR_RANAQ1,1954-1962 Birchall Ave,New York,New York,Level 2,CT4020-HD-GW,0,REACHABLE,,,2026-02-12T20:30:30+00:00
NYC FLEET / DPRRANAQUA#4,1 Bronx River Pkwy,Bronx,New York,Level 2,CT4020-HD-GW,0,REACHABLE,,,2026-02-12T20:29:13+00:00
NYC FLEET / DPRPRKOFAMER#1,103-68 41st Ave,Corona,New York,Level 2,CT4020-HD-GW,0,REACHABLE,,,2026-02-12T20:28:51+00:00
NYC FLEET / DOE_M466-GW1,549 Audubon Ave,New York,New York,Gateway (Not a Charger),CPGW,0,REACHABLE,,,2026-02-12T20:37:30.230297+00:00
NYC FLEET / DSNY_MN10-5-ENF,110 E 131st St,New York,New York,Level 2,CT4020-HD-GW,0,REACHABLE,,,2026-02-12T20:31:49+00:00
NYC FLEET / DSNY_MN10-4-ENF,110 E 130th St,New York,New York,Level 2,CT4020-HD-GW,0,REACHABLE,,,2026-02-12T20:35:51+00:00
NYC FLEET / DCASNAVYYARD01,2 Navy St,Downtown Brooklyn,New York,Level 2,CPF25,1,UNREACHABLE,2026-02-09T15:23:48+00:00,2026-02-09T15:23:48+00:00,2026-02-09T15:03:48+00:00
NYC FLEET / NYPD_COLLPTTOW2,31-22 College Point Blvd,Flushing,New York,Level 2,CT4010-HD-GW,1,UNREACHABLE,2026-02-11T20:20:43+00:00,2026-02-11T20:20:43+00:00,2026-02-11T20:20:43+00:00
NYC FLEET / NYPD_COLLPTTOW1,31-40 College Point Blvd,Flushing,New York,Level 2,CT4010-HD-GW,0,REACHABLE,,,2026-02-12T20:35:24+00:00
NYC FLEET / NYPD_COLLPTTOW3,31-22 College Point Blvd,Flushing,New York,Level 2,CT4010-HD-GW,0,REACHABLE,,,2026-02-12T20:29:11+00:00
NYC FLEET / NYPD_COLLPTTOW4,31-22 College Point Blvd,Flushing,New York,Level 2,CT4010-HD-GW,0,REACHABLE,,,2026-02-12T20:35:19+00:00
NYC FLEET / DOE_M466,549 Audubon Ave,New York,New York,Level 2,CPF50-L23,0,REACHABLE,,,2026-02-12T20:27:50+00:00
