stationName,Address,City,State,postalCode,Lat,Long,Charger type,Charger type (legend),stationModel,StationNetworkStatus,LastPortStatus,faultReason,station_label,ports_total,ports_charging,ports_occupied,ports_available,StatusTimestamp,hours_unreachable,_loaded_at_utc
NYC FLEET / DPR_MARCSGARV#1,3 W 124th St,New York,New York,10027,40.80551,-73.942894,Level 2,Level 2,CT4020-HD2-GW-LTE,Reachable,AVAILABLE,NONE,Available,2,0,0,2,2025-11-19T10:25:59Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / DDC_HQ-S1,3030 Thomson Ave,Queens,New York,11101,40.74398125705431,-73.93609489814757,Level 2,Level 2 - Solar,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,Charging,1,1,0,0,2025-11-18T19:47:52Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / DOT_PIER36-S1,299 South St,New York,New York,10002,40.710032,-73.98485409999999,Level 2,Level 2 - Solar,CT4010-HD-GW,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2025-11-19T10:23:03Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / DSNY_BK13_S1,2012 Neptune Ave,Brooklyn,New York,11224,40.5783882,-73.9880905,Level 2,Level 2 - Solar,CT4010-HD-GW,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2025-11-19T10:24:47Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / DDC_HQ-S2,3030 Thomson Ave,Queens,New York,11101,40.743965,-73.93617,Level 2,Level 2 - Solar,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,Available,1,0,0,1,2025-08-06T22:15:40Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / DOC_CHAPEL_6_L3,EOC,EAST ELMHURST,New York,11370,40.79316181474355,-73.8846465312481,Level 3,Level 3,CPE250C-500-CCS1-CHD,Reachable,INUSE,NONE,Charging,1,1,0,0,2025-11-19T10:27:09Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / DEP_BKWATER-S1,22 N 15th St,Brooklyn,New York,11222,40.72457,-73.957436,Level 2,Level 2 - Solar,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,Available,1,0,0,1,2025-11-18T20:28:43Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / FDNY_FORTTOTT#1,325 Pratt Ave,Queens,New York,11359,40.79149263185442,-73.77436242698364,Level 2,Level 2,CPF50-L18,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2025-11-19T10:27:19Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / DSNY_MBS-DCFC6,640 W 26th St,New York,New York,10001,40.751301553296074,-74.00709612268447,Level 3,Level 3,CPE250C-500-CCS1-CHD,Reachable,INUSE,NONE,Occupied,1,0,1,0,2025-11-19T10:20:23Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / DSNY_MBS-DCFC4,640 W 26th St,New York,New York,10001,40.75131882451064,-74.00718463558196,Level 3,Level 3,CPE250C-500-CCS1-CHD,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2025-11-19T10:20:47Z,0.0,2025-11-19T10:31:52.196106+00:00
